Facility,Destination City,Supplier,Base + FSC
LA/LB Ports,"ADELANTO, CA",FORREST LOGISTICS,645.25
LA/LB Ports,"ADELANTO, CA",DCW Logistics,680.05
LA/LB Ports,"ADELANTO, CA",Mid Lane Carriers Inc.,683.2
LA/LB Ports,"ADELANTO, CA",Franco Trucking - LOS ANGELES LONG BEACH,725
LA/LB Ports,"ADELANTO, CA",J&S LOGISTICS,725
LA/LB Ports,"ADELANTO, CA",Trucking 2000,725
LA/LB Ports,"ADELANTO, CA",NGL LOGISTICS,746.75
LA/LB Ports,"ADELANTO, CA",South Bay Drayage- LOS ANGELES LONG BEACH,746.75
LA/LB Ports,"ADELANTO, CA",Elev8 Transportation LLC,754
LA/LB Ports,"ADELANTO, CA","Hight Logistics, Inc.",761.25
LA/LB Ports,"ADELANTO, CA",NGL TRANSPORTATION,1015
LA/LB Ports,"ADELANTO, CA",Cargomatic,1109.25
LA/LB Ports,"ADELANTO, CA",fitted transportation,1595
LA/LB Ports,"ALBUQUERQUE, NM,USA",DCW Logistics,3295.85
LA/LB Ports,"ALBUQUERQUE, NM,USA",South Bay Drayage- LOS ANGELES LONG BEACH,3523.5
LA/LB Ports,"ALBUQUERQUE, NM,USA",NGL LOGISTICS,3625
LA/LB Ports,"ALBUQUERQUE, NM,USA",FORREST LOGISTICS,3864.25
LA/LB Ports,"ALBUQUERQUE, NM,USA",XTL Trucking,3915
LA/LB Ports,"ALBUQUERQUE, NM,USA",Cargomatic,3929.5
LA/LB Ports,"ALBUQUERQUE, NM,USA",J&S LOGISTICS,4060
LA/LB Ports,"ALBUQUERQUE, NM,USA","Hight Logistics, Inc.",4386.25
LA/LB Ports,"ANAHEIM, CA",Mid Lane Carriers Inc.,355.37
LA/LB Ports,"ANAHEIM, CA",fitted transportation,362.5
LA/LB Ports,"ANAHEIM, CA",Franco Trucking - LOS ANGELES LONG BEACH,362.5
LA/LB Ports,"ANAHEIM, CA",FORREST LOGISTICS,369.75
LA/LB Ports,"ANAHEIM, CA","Hight Logistics, Inc.",377
LA/LB Ports,"ANAHEIM, CA",NGL LOGISTICS,384.25
LA/LB Ports,"ANAHEIM, CA",Cargomatic,398.75
LA/LB Ports,"ANAHEIM, CA",Elev8 Transportation LLC,398.75
LA/LB Ports,"ANAHEIM, CA",South Bay Drayage- LOS ANGELES LONG BEACH,398.75
LA/LB Ports,"ANAHEIM, CA",J&S LOGISTICS,406
LA/LB Ports,"ANAHEIM, CA",Trucking 2000,427.75
LA/LB Ports,"ANAHEIM, CA",XTL Trucking,503.15
LA/LB Ports,"ANAHEIM, CA",NGL TRANSPORTATION,514.75
LA/LB Ports,"ANAHEIM, CA",STARLING FREIGHT INC,652.5
LA/LB Ports,"ARCADIA, CA",DCW Logistics,359.6
LA/LB Ports,"ARCADIA, CA",Mid Lane Carriers Inc.,379.45
LA/LB Ports,"ARCADIA, CA",FORREST LOGISTICS,398.75
LA/LB Ports,"ARCADIA, CA",Franco Trucking - LOS ANGELES LONG BEACH,398.75
LA/LB Ports,"ARCADIA, CA",NGL LOGISTICS,413.25
LA/LB Ports,"ARCADIA, CA","Hight Logistics, Inc.",420.5
LA/LB Ports,"ARCADIA, CA",Elev8 Transportation LLC,424.13
LA/LB Ports,"ARCADIA, CA",fitted transportation,427.75
LA/LB Ports,"ARCADIA, CA",South Bay Drayage- LOS ANGELES LONG BEACH,427.75
LA/LB Ports,"ARCADIA, CA",Trucking 2000,453.85
LA/LB Ports,"ARCADIA, CA",J&S LOGISTICS,456.75
LA/LB Ports,"ARCADIA, CA",Cargomatic,572.75
LA/LB Ports,"ARCADIA, CA",STARLING FREIGHT INC,696
LA/LB Ports,"ATLANTA, GA, USA",South Bay Drayage- LOS ANGELES LONG BEACH,8047.5
